username,user,mail,jogoname,jogoage,jogorelease,devname,devloc
Rodrigo24,Rodrigo,rodrigo24@outlook.pt,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
Miguel70,Miguel,miguel70@hotmail.com,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
Miguel70,Miguel,miguel70@hotmail.com,Car Earth,16,2018-09-14 06:09,Valve,Lisboa
Pedro73,Pedro,pedro73@outlook.pt,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Pedro73,Pedro,pedro73@outlook.pt,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
Pedro73,Pedro,pedro73@outlook.pt,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
Rosa68,Rosa,rosa68@ua.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Rosa68,Rosa,rosa68@ua.pt,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
Rosa68,Rosa,rosa68@ua.pt,Car Earth,16,2018-09-14 06:09,Valve,Lisboa
Rosa68,Rosa,rosa68@ua.pt,War Insane,18,2018-11-01 00:13,Sony,Faro
Ana65,Ana,ana65@hotmail.com,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
José62,José,josé62@outlook.pt,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
José62,José,josé62@outlook.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
José62,José,josé62@outlook.pt,Sun War,12,2015-04-11 09:37,Sony,Faro
José62,José,josé62@outlook.pt,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Lara95,Lara,lara95@ua.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
Lara95,Lara,lara95@ua.pt,War Insane,18,2018-11-01 00:13,Sony,Faro
Soraia33,Soraia,soraia33@ua.pt,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
Soraia33,Soraia,soraia33@ua.pt,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Lara44,Lara,lara44@ua.pt,Earth Motor,2,2018-12-18 22:47,Nintendo,Faro
Lara44,Lara,lara44@ua.pt,Ultimate Fight,12,2017-01-02 12:17,Valve,Lisboa
Lara44,Lara,lara44@ua.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Lara44,Lara,lara44@ua.pt,Ultra I,12,2017-07-19 01:16,Valve,Lisboa
Marta50,Marta,marta50@hotmail.com,Sun War,12,2015-04-11 09:37,Sony,Faro
Marta50,Marta,marta50@hotmail.com,Car Earth,16,2018-09-14 06:09,Valve,Lisboa
Marta50,Marta,marta50@hotmail.com,Last Sun,18,2015-06-26 12:36,Intel,Coimbra
Marta50,Marta,marta50@hotmail.com,Soldier Ultra,18,2015-12-15 08:55,Naughty Dog,Martin
Marta50,Marta,marta50@hotmail.com,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Teresa69,Teresa,teresa69@ua.pt,Ultimate Fight,12,2017-01-02 12:17,Valve,Lisboa
Teresa69,Teresa,teresa69@ua.pt,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Teresa69,Teresa,teresa69@ua.pt,II Dawn,12,2016-05-13 23:47,Nintendo,Faro
Rosa56,Rosa,rosa56@ua.pt,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
Maria86,Maria,maria86@hotmail.com,First Final,2,2017-01-12 21:26,Nintendo,Faro
Maria86,Maria,maria86@hotmail.com,Ultra I,12,2017-07-19 01:16,Valve,Lisboa
Maria86,Maria,maria86@hotmail.com,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Maria86,Maria,maria86@hotmail.com,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
Maria86,Maria,maria86@hotmail.com,Dawn Final,8,2018-08-23 14:24,Sony,Faro
Maria86,Maria,maria86@hotmail.com,First Night,12,2017-01-28 01:18,Valve,Lisboa
Filipa88,Filipa,filipa88@hotmail.com,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
João97,João,joão97@hotmail.com,Pro Fight,16,2017-10-04 09:41,Nintendo,Faro
João97,João,joão97@hotmail.com,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
João97,João,joão97@hotmail.com,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Soraia67,Soraia,soraia67@outlook.pt,Ultimate Dawn,16,2015-12-07 13:29,Nintendo,Faro
Soraia67,Soraia,soraia67@outlook.pt,Soldier Ultra,18,2015-12-15 08:55,Naughty Dog,Martin
Soraia67,Soraia,soraia67@outlook.pt,Sun Pro,8,2015-06-04 09:34,Intel,Coimbra
Soraia67,Soraia,soraia67@outlook.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
Soraia67,Soraia,soraia67@outlook.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Soraia67,Soraia,soraia67@outlook.pt,War I,2,2018-04-21 01:43,Valve,Lisboa
Margarida58,Margarida,margarida58@outlook.pt,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
Margarida58,Margarida,margarida58@outlook.pt,Pro Fight,16,2017-10-04 09:41,Nintendo,Faro
Helena21,Helena,helena21@ua.pt,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Helena21,Helena,helena21@ua.pt,Pro Last,12,2018-09-12 15:31,Naughty Dog,Martin
Marta54,Marta,marta54@ua.pt,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
Luís42,Luís,luís42@ua.pt,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Luís42,Luís,luís42@ua.pt,Ultimate Fight,12,2017-01-02 12:17,Valve,Lisboa
Luís42,Luís,luís42@ua.pt,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
Lara45,Lara,lara45@ua.pt,Pro Fight,16,2017-10-04 09:41,Nintendo,Faro
Margarida46,Margarida,margarida46@outlook.pt,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Margarida46,Margarida,margarida46@outlook.pt,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
Margarida46,Margarida,margarida46@outlook.pt,Last Sun,18,2015-06-26 12:36,Intel,Coimbra
Margarida46,Margarida,margarida46@outlook.pt,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
Margarida46,Margarida,margarida46@outlook.pt,Soldier Motor,8,2016-01-01 03:34,Sony,Faro
Margarida46,Margarida,margarida46@outlook.pt,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
João15,João,joão15@hotmail.com,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Miguel86,Miguel,miguel86@outlook.pt,Soldier Sun,12,2015-09-02 05:42,Sony,Faro
Luís72,Luís,luís72@outlook.pt,Ultra II,8,2015-04-25 15:13,Pokemon,Martin
Luís72,Luís,luís72@outlook.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Miguel66,Miguel,miguel66@ua.pt,Ultra I,12,2017-07-19 01:16,Valve,Lisboa
Miguel66,Miguel,miguel66@ua.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
Miguel66,Miguel,miguel66@ua.pt,Sun War,12,2015-04-11 09:37,Sony,Faro
Miguel66,Miguel,miguel66@ua.pt,Digital Pro,8,2017-11-14 01:24,Intel,Coimbra
Marta47,Marta,marta47@outlook.pt,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Marta47,Marta,marta47@outlook.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Marta47,Marta,marta47@outlook.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Marta47,Marta,marta47@outlook.pt,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
Mafalda3,Mafalda,mafalda3@outlook.pt,Soldier Ultra,18,2015-12-15 08:55,Naughty Dog,Martin
Mafalda3,Mafalda,mafalda3@outlook.pt,Ultra I,12,2017-07-19 01:16,Valve,Lisboa
Mafalda3,Mafalda,mafalda3@outlook.pt,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
Leonor53,Leonor,leonor53@ua.pt,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
Leonor53,Leonor,leonor53@ua.pt,II Dawn,12,2016-05-13 23:47,Nintendo,Faro
Leonor53,Leonor,leonor53@ua.pt,Soldier Ultra,18,2015-12-15 08:55,Naughty Dog,Martin
Leonor53,Leonor,leonor53@ua.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Leonor53,Leonor,leonor53@ua.pt,First Final,2,2017-01-12 21:26,Nintendo,Faro
Leonor53,Leonor,leonor53@ua.pt,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
Francisca63,Francisca,francisca63@outlook.pt,Digital Pro,8,2017-11-14 01:24,Intel,Coimbra
Francisca63,Francisca,francisca63@outlook.pt,Sun War,12,2015-04-11 09:37,Sony,Faro
Francisca63,Francisca,francisca63@outlook.pt,Extreme Motor,8,2015-06-03 07:06,Pokemon,Martin
Francisca39,Francisca,francisca39@ua.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
Francisca39,Francisca,francisca39@ua.pt,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
Francisca39,Francisca,francisca39@ua.pt,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
Francisca39,Francisca,francisca39@ua.pt,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Francisca39,Francisca,francisca39@ua.pt,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Francisca39,Francisca,francisca39@ua.pt,Soldier Soldier,16,2016-03-01 10:47,Sony,Faro
Teresa43,Teresa,teresa43@ua.pt,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
Pedro28,Pedro,pedro28@outlook.pt,Soldier Sun,12,2015-09-02 05:42,Sony,Faro
Pedro28,Pedro,pedro28@outlook.pt,War I,2,2018-04-21 01:43,Valve,Lisboa
Pedro28,Pedro,pedro28@outlook.pt,Extreme Motor,8,2015-06-03 07:06,Pokemon,Martin
Luís90,Luís,luís90@ua.pt,Ultra II,8,2015-04-25 15:13,Pokemon,Martin
Luís90,Luís,luís90@ua.pt,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
Margarida26,Margarida,margarida26@ua.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
Margarida26,Margarida,margarida26@ua.pt,Soldier Soldier,16,2016-03-01 10:47,Sony,Faro
Margarida26,Margarida,margarida26@ua.pt,I Earth,18,2018-05-23 02:48,Intel,Coimbra
Margarida26,Margarida,margarida26@ua.pt,First Night,12,2017-01-28 01:18,Valve,Lisboa
Margarida26,Margarida,margarida26@ua.pt,Ultra I,12,2017-07-19 01:16,Valve,Lisboa
Maria31,Maria,maria31@hotmail.com,Pro Last,12,2018-09-12 15:31,Naughty Dog,Martin
Maria31,Maria,maria31@hotmail.com,Pro Fight,16,2017-10-04 09:41,Nintendo,Faro
Maria31,Maria,maria31@hotmail.com,Ultimate Fight,12,2017-01-02 12:17,Valve,Lisboa
Maria31,Maria,maria31@hotmail.com,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Maria31,Maria,maria31@hotmail.com,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Maria31,Maria,maria31@hotmail.com,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Alice51,Alice,alice51@outlook.pt,Digital Pro,8,2017-11-14 01:24,Intel,Coimbra
Alice51,Alice,alice51@outlook.pt,Dawn Final,8,2018-08-23 14:24,Sony,Faro
Alice51,Alice,alice51@outlook.pt,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
Alice51,Alice,alice51@outlook.pt,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Alice51,Alice,alice51@outlook.pt,Last War,2,2016-07-16 20:26,Pokemon,Martin
Pedro73,Pedro,pedro73@hotmail.com,Car Earth,16,2018-09-14 06:09,Valve,Lisboa
Pedro73,Pedro,pedro73@hotmail.com,First Final,2,2017-01-12 21:26,Nintendo,Faro
Pedro73,Pedro,pedro73@hotmail.com,War Insane,18,2018-11-01 00:13,Sony,Faro
Pedro73,Pedro,pedro73@hotmail.com,Ultra I,12,2017-07-19 01:16,Valve,Lisboa
Pedro73,Pedro,pedro73@hotmail.com,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Pedro73,Pedro,pedro73@hotmail.com,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Maria87,Maria,maria87@ua.pt,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Maria87,Maria,maria87@ua.pt,II Dawn,12,2016-05-13 23:47,Nintendo,Faro
Maria87,Maria,maria87@ua.pt,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Luís88,Luís,luís88@outlook.pt,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Luís88,Luís,luís88@outlook.pt,War I,2,2018-04-21 01:43,Valve,Lisboa
Marta94,Marta,marta94@hotmail.com,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Inês25,Inês,inês25@hotmail.com,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Inês25,Inês,inês25@hotmail.com,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Inês25,Inês,inês25@hotmail.com,Dawn Final,8,2018-08-23 14:24,Sony,Faro
Inês25,Inês,inês25@hotmail.com,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
Rita9,Rita,rita9@ua.pt,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Rita9,Rita,rita9@ua.pt,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
Helena75,Helena,helena75@ua.pt,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
Helena75,Helena,helena75@ua.pt,Soldier Sun,12,2015-09-02 05:42,Sony,Faro
Helena75,Helena,helena75@ua.pt,Soldier Soldier,16,2016-03-01 10:47,Sony,Faro
Helena75,Helena,helena75@ua.pt,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Helena75,Helena,helena75@ua.pt,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Soraia17,Soraia,soraia17@hotmail.com,First Night,12,2017-01-28 01:18,Valve,Lisboa
Soraia17,Soraia,soraia17@hotmail.com,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Soraia17,Soraia,soraia17@hotmail.com,Car Earth,16,2018-09-14 06:09,Valve,Lisboa
Soraia17,Soraia,soraia17@hotmail.com,II Dawn,12,2016-05-13 23:47,Nintendo,Faro
Soraia17,Soraia,soraia17@hotmail.com,Pro Fight,16,2017-10-04 09:41,Nintendo,Faro
Soraia17,Soraia,soraia17@hotmail.com,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Mafalda28,Mafalda,mafalda28@hotmail.com,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Mafalda28,Mafalda,mafalda28@hotmail.com,Earth Motor,2,2018-12-18 22:47,Nintendo,Faro
Mafalda28,Mafalda,mafalda28@hotmail.com,Soldier Soldier,16,2016-03-01 10:47,Sony,Faro
Mafalda28,Mafalda,mafalda28@hotmail.com,Pro Fight,16,2017-10-04 09:41,Nintendo,Faro
Maria85,Maria,maria85@outlook.pt,Soldier Sun,12,2015-09-02 05:42,Sony,Faro
Maria85,Maria,maria85@outlook.pt,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Ana84,Ana,ana84@outlook.pt,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Ana84,Ana,ana84@outlook.pt,War I,2,2018-04-21 01:43,Valve,Lisboa
Ana84,Ana,ana84@outlook.pt,Dawn First,8,2015-06-11 10:35,Naughty Dog,Martin
Ana84,Ana,ana84@outlook.pt,Extreme Motor,8,2015-06-03 07:06,Pokemon,Martin
Rosa69,Rosa,rosa69@hotmail.com,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
Rosa69,Rosa,rosa69@hotmail.com,Ultra Motor,18,2017-10-23 16:08,Valve,Lisboa
Rosa69,Rosa,rosa69@hotmail.com,Soldier Last,2,2017-10-01 22:56,Nintendo,Faro
Rosa69,Rosa,rosa69@hotmail.com,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
Rosa69,Rosa,rosa69@hotmail.com,Soldier Motor,8,2016-01-01 03:34,Sony,Faro
Leonor20,Leonor,leonor20@ua.pt,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
Leonor20,Leonor,leonor20@ua.pt,War Insane,18,2018-11-01 00:13,Sony,Faro
Leonor20,Leonor,leonor20@ua.pt,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Pedro92,Pedro,pedro92@outlook.pt,Ultra II,8,2015-04-25 15:13,Pokemon,Martin
Pedro92,Pedro,pedro92@outlook.pt,Last Plus,18,2017-02-13 02:13,Intel,Coimbra
Maria82,Maria,maria82@hotmail.com,Earth Motor,2,2018-12-18 22:47,Nintendo,Faro
Maria82,Maria,maria82@hotmail.com,Night War,12,2015-03-20 19:12,Naughty Dog,Martin
Maria82,Maria,maria82@hotmail.com,Car Earth,16,2018-09-14 06:09,Valve,Lisboa
Maria82,Maria,maria82@hotmail.com,Infamous Digital,12,2017-04-25 20:31,Pokemon,Martin
José65,José,josé65@outlook.pt,Night Digital,12,2015-02-06 00:38,Pokemon,Martin
José65,José,josé65@outlook.pt,Extreme Motor,8,2015-06-03 07:06,Pokemon,Martin
José65,José,josé65@outlook.pt,Soldier Motor,8,2016-01-01 03:34,Sony,Faro
José65,José,josé65@outlook.pt,Soldier Soldier,16,2016-03-01 10:47,Sony,Faro
José65,José,josé65@outlook.pt,II Fight,8,2018-11-20 22:33,Pokemon,Martin
Ana86,Ana,ana86@ua.pt,Infamous Dawn,2,2018-03-20 12:05,Sony,Faro
Ana86,Ana,ana86@ua.pt,Final Sun,8,2016-09-01 08:22,Naughty Dog,Martin
Francisca83,Francisca,francisca83@hotmail.com,Earth First,8,2016-06-23 15:31,Nintendo,Faro
Francisca83,Francisca,francisca83@hotmail.com,War Ultra,12,2015-10-02 08:09,Intel,Coimbra
Francisca83,Francisca,francisca83@hotmail.com,Pro Last,12,2018-09-12 15:31,Naughty Dog,Martin
Francisca83,Francisca,francisca83@hotmail.com,Dawn Sun,2,2017-03-05 14:45,Naughty Dog,Martin
Francisca83,Francisca,francisca83@hotmail.com,Extreme II,2,2015-05-26 09:52,Pokemon,Martin
Francisca83,Francisca,francisca83@hotmail.com,Digital Infamous,12,2018-11-07 01:24,Valve,Lisboa
